date,MHI,btc_price,dailycases,sentiment_index
2020-06-28,40.73,9124,170146,14.49
2020-06-27,39.05,9008.3,178338,11.93
2020-06-26,39.17,9160,192053,11.71
2020-06-25,38.79,9247.5,179264,12.82
2020-06-24,37.62,9302,169306,12.96
2020-06-23,38.58,9624.6,166666,12.71
2020-06-22,41.69,9683.7,143199,12.51
2020-06-21,39.31,9296.4,164379,3.11
2020-06-20,37.84,9358.8,123893,-4.6
2020-06-19,36.71,9314,179827,-16.07
2020-06-18,37.34,9388.1,139369,-17.17
2020-06-17,38.8,9464.6,178406,-18.31
2020-06-16,39.23,9523.5,139360,-25.41
2020-06-15,41.09,9425.4,132087,-25.38
2020-06-14,41.45,9345.3,134090,-25.93
2020-06-13,38.8,9471.3,134006,-17.79
2020-06-12,37.76,9466.6,119006,-6.83
2020-06-11,37.19,9283.2,153346,-7.53
2020-06-10,38,9878.8,118973,-8.41
2020-06-09,38.83,9768.8,123316,-3.24
2020-06-08,41.1,9777.9,107124,-5.14
2020-06-07,39.33,9742.6,114520,-5.32
2020-06-06,38.58,9669.6,126027,-10.24
2020-06-05,39.2,9631.2,137427,-16.83
2020-06-04,38.31,9794.4,128211,-16.14
2020-06-03,37.42,9667.2,118641,-14.78
2020-06-02,39.1,9527.6,121100,-12.78
2020-06-01,42.1,10189.3,98913,-11.29
2020-05-31,40.92,9454.8,107743,-12.1
2020-05-30,41.21,9692.5,134856,-12.14
2020-05-29,44.14,9424.8,115453,-13.29
2020-05-28,44.25,9572.2,116751,-13.61
2020-05-27,45.54,9199.1,102808,-14.19
2020-05-26,49.93,8842.5,94267,-15.05
2020-05-25,52.75,8898.2,87278,-15.93
2020-05-24,50.74,8728.2,97401,-16.51
2020-05-23,45.82,9177,99066,-20.95
2020-05-22,45.61,9169.7,108548,-19.78
2020-05-21,47.3,9059,106106,-19.78
2020-05-20,47.03,9512.3,98902,-22.75
2020-05-19,47.82,9773.3,95247,-24.21
2020-05-18,53.11,9730.7,88132,-29.76
2020-05-17,45.89,9677.7,80440,-30.1
2020-05-16,46.84,9379.5,91694,-30.49
